0,pnl,max_dd,dds
2024-01-01,-156,0.2159,1
2024-01-03,105,0.2159,1
2024-01-04,74,0.2159,1
2024-01-05,10,0.2159,2
2024-01-08,0,0.2666,3
2024-01-09,-111,0.437,4
2024-01-10,-109,0.6052,5
2024-01-11,-145,0.8091,6
2024-01-12,148,0.8091,6
2024-01-15,92,0.8091,6
2024-01-16,-36,0.8091,7
2024-01-17,315,0.8091,7
2024-01-18,69,0.8091,7
2024-01-19,36,0.8091,8
2024-01-23,28,0.8091,9
2024-01-24,-418,1.0522,10
2024-01-25,-353,1.4609,11
2024-01-30,47,1.4735,12
2024-01-31,-186,1.7165,13
2024-02-01,268,1.7165,13
2024-02-02,4,1.7165,14
2024-02-05,-239,1.8606,15
2024-02-06,-111,2.029,16
2024-02-07,-342,2.4248,17
2024-02-08,-13,2.4961,18
2024-02-09,-70,2.6235,19
2024-02-12,167,2.6235,19
2024-02-13,-21,2.6235,20
2024-02-14,75,2.6235,20
2024-02-15,-62,2.7007,21
2024-02-16,49,2.711,22
2024-02-19,75,2.711,22
2024-02-20,-193,2.9433,23
2024-02-21,116,2.9433,23
2024-02-22,198,2.9433,23
2024-02-23,-14,2.9433,24
2024-02-26,-47,2.9433,25
2024-02-27,178,2.9433,25
2024-02-28,-164,3.0311,26
2024-02-29,59,3.0317,27
2024-03-04,-2,3.0918,28
2024-03-05,-268,3.4112,29
2024-03-06,-129,3.5949,30
2024-03-07,96,3.5949,30
2024-03-11,83,3.5949,30
2024-03-12,31,3.5949,31
2024-03-13,280,3.5949,31
2024-03-14,-390,3.7864,32
2024-03-15,-232,4.0694,33
2024-03-18,99,4.0694,33
2024-03-19,14,4.0748,34
2024-03-20,36,4.0974,35
2024-03-21,103,4.0974,35
2024-03-22,171,4.0974,35
2024-03-26,42,4.0974,36
2024-03-27,-128,4.1454,37
2024-03-28,148,4.1454,37
2024-04-01,-28,4.1454,38
2024-04-02,10,4.1923,39
2024-04-03,-233,4.4745,40
2024-04-04,84,4.4745,40
2024-04-05,137,4.4745,40
2024-04-08,172,4.4745,40
2024-04-09,116,4.4745,40
2024-04-10,141,4.4745,40
2024-04-12,-151,4.4745,41
2024-04-15,209,4.4745,41
2024-04-16,83,4.4745,41
2024-04-18,212,4.4745,41
2024-04-19,-217,4.4745,42
2024-04-22,170,4.4745,42
2024-04-23,20,4.4745,43
2024-04-24,-103,4.4745,44
2024-04-25,40,4.4745,45
2024-04-26,-19,4.4754,46
2024-04-29,21,4.5127,47
2024-04-30,-18,4.5871,48
2024-05-02,151,4.5871,48
2024-05-03,-91,4.6443,49
2024-05-06,-80,4.7777,50
2024-05-07,53,4.7843,51
