0,pnl,max_dd,dds
2024-01-01,-156,166,1
2024-01-03,105,166,2
2024-01-04,74,166,3
2024-01-05,10,166,4
2024-01-08,0,166,5
2024-01-09,-111,166,6
2024-01-10,-109,257,7
2024-01-11,-145,412,8
2024-01-12,148,412,9
2024-01-15,92,412,10
2024-01-16,-36,412,11
2024-01-17,315,412,0
2024-01-18,69,412,0
2024-01-19,36,412,0
2024-01-23,28,412,0
2024-01-24,-418,412,1
2024-01-25,-353,620,2
2024-01-30,47,620,3
2024-01-31,-186,779,4
2024-02-01,268,779,5
2024-02-02,4,779,6
2024-02-05,-239,779,7
2024-02-06,-111,896,8
2024-02-07,-342,1247,9
2024-02-08,-13,1270,10
2024-02-09,-70,1350,11
2024-02-12,167,1350,12
2024-02-13,-21,1350,13
2024-02-14,75,1350,14
2024-02-15,-62,1350,15
2024-02-16,49,1350,16
2024-02-19,75,1350,17
2024-02-20,-193,1350,18
2024-02-21,116,1350,19
2024-02-22,198,1350,20
2024-02-23,-14,1350,21
2024-02-26,-47,1350,22
2024-02-27,178,1350,23
2024-02-28,-164,1350,24
2024-02-29,59,1350,25
2024-03-04,-2,1350,26
2024-03-05,-268,1362,27
2024-03-06,-129,1500,28
2024-03-07,96,1500,29
2024-03-11,83,1500,30
2024-03-12,31,1500,31
2024-03-13,280,1500,32
2024-03-14,-390,1500,33
2024-03-15,-232,1691,34
2024-03-18,99,1691,35
2024-03-19,14,1691,36
2024-03-20,36,1691,37
2024-03-21,103,1691,38
2024-03-22,171,1691,39
2024-03-26,42,1691,40
2024-03-27,-128,1691,41
2024-03-28,148,1691,42
2024-04-01,-28,1691,43
2024-04-02,10,1691,44
2024-04-03,-233,1691,45
2024-04-04,84,1691,46
2024-04-05,137,1691,47
2024-04-08,172,1691,48
2024-04-09,116,1691,49
2024-04-10,141,1691,50
2024-04-12,-151,1691,51
2024-04-15,209,1691,52
2024-04-16,83,1691,53
2024-04-18,212,1691,54
2024-04-19,-217,1691,55
2024-04-22,170,1691,56
2024-04-23,20,1691,57
2024-04-24,-103,1691,58
2024-04-25,40,1691,59
2024-04-26,-19,1691,60
2024-04-29,21,1691,61
2024-04-30,-18,1691,62
2024-05-02,151,1691,63
2024-05-03,-91,1691,64
2024-05-06,-80,1691,65
2024-05-07,53,1691,66
